Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Vitamin D Deficiency,C0042870,FGF23,8074,Q9GZV9,fibroblast growth factor 23,Signaling,305,0.46,0.731,0.031014,0.1,,1,13,0,2011,2019
Vitamin D Deficiency,C0042870,PTH,5741,P01270,parathyroid hormone,,528,0.397,0.846,0.012093,0.1,,0.981,54,0,2003,2019
Vitamin D Deficiency,C0042870,TUBB6,84617,Q9BUF5,tubulin beta 6 class V,Cellular structure,46,0.686,0.462,0.00016645,0.1,,1,1,1,2010,2010
Vitamin D Deficiency,C0042870,RPS6KA3,6197,P51812,ribosomal protein S6 kinase A3,Kinase,315,0.491,0.846,0.99999,0.1,,,0,1,,
Vitamin D Deficiency,C0042870,CRP,1401,P02741,C-reactive protein,,1483,0.299,0.962,0.0036969,0.1,,0.7,10,0,2002,2019
Vitamin D Deficiency,C0042870,AFG3L2,10939,Q9Y4W6,AFG3 like matrix AAA peptidase subunit 2,Enzyme,123,0.588,0.462,5.2511E-09,0.1,,1,1,1,2010,2010
Vitamin D Deficiency,C0042870,CYP2R1,120227,Q6VVX0,cytochrome P450 family 2 subfamily R member 1,,139,0.563,0.731,3.793E-10,0.1,,0.929,14,6,2012,2019
Vitamin D Deficiency,C0042870,REN,5972,P00797,renin,Enzyme,721,0.37,0.923,2.4297E-07,0.07,,1,7,0,2013,2019
Vitamin D Deficiency,C0042870,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.07,,1,7,0,2016,2019
Vitamin D Deficiency,C0042870,DHCR7,1717,Q9UBM7,7-dehydrocholesterol reductase,Enzyme,266,0.5,0.846,3.949E-13,0.05,,0.8,5,0,2013,2019
Vitamin D Deficiency,C0042870,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.05,,1,5,0,2017,2020
Vitamin D Deficiency,C0042870,IGF1,3479,P05019,insulin like growth factor 1,,1206,0.318,0.885,0.2716,0.04,,1,4,0,2017,2019
Vitamin D Deficiency,C0042870,CYP24A1,1591,Q07973,cytochrome P450 family 24 subfamily A member 1,Enzyme,171,0.518,0.692,3.1964E-23,0.04,,1,4,3,2017,2020
Vitamin D Deficiency,C0042870,GH1,2688,P01241,growth hormone 1,Signaling,686,0.373,0.923,0.030057,0.03,,1,3,0,2018,2019
Vitamin D Deficiency,C0042870,CASR,846,P41180,calcium sensing receptor,G-protein coupled receptor,517,0.41,0.846,0.046698,0.03,,1,3,1,2007,2015
Vitamin D Deficiency,C0042870,TGFB1,7040,P01137,transforming growth factor beta 1,Signaling,1558,0.287,0.962,0.03685,0.03,,1,3,0,2017,2018
Vitamin D Deficiency,C0042870,HLA-DRB1,3123,P01911,"major histocompatibility complex, class II, DR beta 1",Immune response,1018,0.333,0.923,0.0010997,0.03,,1,3,0,2016,2019
Vitamin D Deficiency,C0042870,DMD,1756,P11532,dystrophin,,484,0.423,0.923,1,0.02,,1,2,0,2017,2018
Vitamin D Deficiency,C0042870,IFNL3,282617,Q8IZI9,interferon lambda 3,,175,0.506,0.808,2.4233E-08,0.02,,1,2,0,2011,2013
Vitamin D Deficiency,C0042870,GPT,2875,P24298,glutamic--pyruvic transaminase,Enzyme,511,0.403,0.923,3.5945E-19,0.02,,1,2,0,2018,2020
Vitamin D Deficiency,C0042870,ADIPOQ,9370,Q15848,"adiponectin, C1Q and collagen domain containing",,679,0.376,0.885,4.6434E-09,0.02,,1,2,0,2018,2019
Vitamin D Deficiency,C0042870,APOE,348,P02649,apolipoprotein E,,1049,0.338,0.962,0.0018685,0.02,,1,2,0,2003,2016
Vitamin D Deficiency,C0042870,CCL2,6347,P13500,C-C motif chemokine ligand 2,Signaling,1157,0.321,0.962,0.60786,0.02,,1,2,0,2019,2019
Vitamin D Deficiency,C0042870,IL4,3565,P05112,interleukin 4,,996,0.332,0.962,0.0047372,0.02,,1,2,1,2011,2012
Vitamin D Deficiency,C0042870,CYP3A4,1576,P08684,cytochrome P450 family 3 subfamily A member 4,Enzyme,291,0.462,0.885,5.7979E-11,0.02,,0.5,2,2,2018,2018
Vitamin D Deficiency,C0042870,MMP9,4318,P14780,matrix metallopeptidase 9,Enzyme,1337,0.305,0.923,1.8869E-17,0.02,,1,2,1,2018,2019
Vitamin D Deficiency,C0042870,MMP13,4322,P45452,matrix metallopeptidase 13,Enzyme,328,0.452,0.923,7.8767E-18,0.02,,1,2,0,2018,2019
Vitamin D Deficiency,C0042870,HT,140805,,Hashimoto thyroiditis,,170,0.505,0.731,,0.02,,1,2,0,2017,2019
Vitamin D Deficiency,C0042870,SOST,50964,Q9BQB4,sclerostin,,270,0.474,0.808,0.86731,0.02,,1,2,0,2017,2019
Vitamin D Deficiency,C0042870,BEST1,7439,O76090,bestrophin 1,Ion channel,292,0.465,0.885,1.8214E-12,0.02,,1,2,0,2017,2018
Vitamin D Deficiency,C0042870,ALB,213,P02768,albumin,Transporter,1198,0.317,0.962,0.64329,0.02,,1,2,0,2017,2018
Vitamin D Deficiency,C0042870,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,0.000024085,0.02,,1,2,0,2018,2018
Vitamin D Deficiency,C0042870,CHDH,55349,Q8NE62,choline dehydrogenase,Enzyme,158,0.529,0.769,0.000001685,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,PTGS2,5743,P35354,prostaglandin-endoperoxide synthase 2,Enzyme,1234,0.314,0.962,0.99597,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,PIK3CA,5290,P42336,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Kinase,1511,0.292,0.923,1,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,KL,9365,Q9UEF7,klotho,Enzyme,332,0.448,0.769,0.00022444,0.01,,1,1,0,2011,2011
Vitamin D Deficiency,C0042870,HAMP,57817,P81172,hepcidin antimicrobial peptide,,377,0.433,0.846,0.0081797,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,CD19,930,P15391,CD19 molecule,,365,0.43,0.885,0.90496,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,PHEX,5251,P78562,phosphate regulating endopeptidase homolog X-linked,Enzyme,142,0.548,0.808,0.99996,0.01,,1,1,0,2014,2014
Vitamin D Deficiency,C0042870,SLC22A8,9376,Q8TCC7,solute carrier family 22 member 8,Transporter,37,0.656,0.615,2.6004E-09,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,RAPGEF5,9771,Q92565,Rap guanine nucleotide exchange factor 5,Enzyme modulator,151,0.524,0.769,0.98099,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,SHBG,6462,P04278,sex hormone binding globulin,,368,0.438,0.808,1.2538E-06,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,BRD2,6046,P25440,bromodomain containing 2,Epigenetic regulator,303,0.45,0.808,0.99957,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,MAPK9,5601,P45984,mitogen-activated protein kinase 9,Kinase,115,0.561,0.731,0.069738,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,PPARG,5468,P37231,peroxisome proliferator activated receptor gamma,Nuclear receptor,877,0.358,0.885,0.029194,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,PRL,5617,P01236,prolactin,Signaling,506,0.406,0.885,2.9015E-07,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,CCHCR1,54535,Q8TD31,coiled-coil alpha-helical rod protein 1,,193,0.505,0.808,1.0122E-16,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,PIK3CG,5294,P48736,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Kinase,1101,0.32,0.885,1.4076E-06,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,PIK3CD,5293,O00329,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Kinase,1119,0.319,0.885,0.99999,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,PIK3CB,5291,P42338,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Kinase,1083,0.322,0.885,0.99964,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,PSG2,5670,P11465,pregnancy specific beta-1-glycoprotein 2,,210,0.492,0.731,1.382E-30,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,S1PR2,9294,O95136,sphingosine-1-phosphate receptor 2,G-protein coupled receptor,93,0.585,0.731,0.018286,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,SCD,6319,O00767,stearoyl-CoA desaturase,,225,0.49,0.808,0.96968,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,TLR2,7097,O60603,toll like receptor 2,,749,0.361,0.923,1.0152E-06,0.01,,1,1,0,2016,2016
Vitamin D Deficiency,C0042870,TNNT1,7138,P13805,"troponin T1, slow skeletal type",Cellular structure,60,0.633,0.577,7.0202E-14,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,TPO,7173,P07202,thyroid peroxidase,Enzyme,306,0.455,0.846,1.8182E-21,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,GGTLC3,728226,B5MD39,gamma-glutamyltransferase light chain family member 3,,165,0.513,0.846,,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,GGT2,728441,P36268,gamma-glutamyltransferase 2,,165,0.513,0.846,0.00012986,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,CCR2,729230,P41597,C-C motif chemokine receptor 2,,436,0.418,0.846,0.023412,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,GGTLC4P,729838,,gamma-glutamyltransferase light chain 4 pseudogene,,165,0.513,0.846,,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,NR0B2,8431,Q15466,nuclear receptor subfamily 0 group B member 2,Nuclear receptor,251,0.474,0.808,8.3377E-06,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,VIP,7432,P01282,vasoactive intestinal peptide,Signaling,376,0.437,0.846,0.00041995,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,COASY,80347,Q13057,Coenzyme A synthase,Enzyme,125,0.551,0.654,8.0903E-10,0.01,,1,1,0,2014,2014
Vitamin D Deficiency,C0042870,TIMP1,7076,P01033,TIMP metallopeptidase inhibitor 1,Enzyme modulator,603,0.38,0.885,0.4993,0.01,,0,1,0,2002,2002
Vitamin D Deficiency,C0042870,STX16,8675,O14662,syntaxin 16,Transporter,58,0.656,0.538,0.48261,0.01,,1,1,0,2014,2014
Vitamin D Deficiency,C0042870,IL33,90865,O95760,interleukin 33,,487,0.409,0.885,8.2925E-10,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,NOD2,64127,Q9HC29,nucleotide binding oligomerization domain containing 2,Enzyme,434,0.423,0.923,1.9834E-30,0.01,,1,1,0,2010,2010
Vitamin D Deficiency,C0042870,SELENBP1,8991,Q13228,selenium binding protein 1,Immune response,214,0.493,0.846,3.2268E-16,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,TFPI,7035,P10646,tissue factor pathway inhibitor,Enzyme modulator,230,0.486,0.808,0.2477,0.01,,1,1,0,2015,2015
Vitamin D Deficiency,C0042870,TGM2,7052,P21980,transglutaminase 2,Enzyme,315,0.445,0.808,6.8118E-18,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,GGTLC5P,653590,,gamma-glutamyltransferase light chain 5 pseudogene,,165,0.513,0.846,,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,SLC10A1,6554,Q14973,solute carrier family 10 member 1,Transporter,54,0.626,0.462,4.7887E-16,0.01,,1,1,1,2017,2017
Vitamin D Deficiency,C0042870,SLC34A1,6569,Q06495,solute carrier family 34 member 1,Transporter,73,0.619,0.423,8.9128E-27,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,SLC20A2,6575,Q08357,solute carrier family 20 member 2,Transporter,104,0.638,0.577,0.96545,0.01,,1,1,0,2014,2014
Vitamin D Deficiency,C0042870,TNFSF10,8743,P50591,TNF superfamily member 10,Signaling,445,0.413,0.885,0.13495,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,CAMP,820,P49913,cathelicidin antimicrobial peptide,,262,0.466,0.846,0.0043897,0.01,,1,1,0,2014,2014
Vitamin D Deficiency,C0042870,PGR,5241,P06401,progesterone receptor,Nuclear receptor,392,0.426,0.885,0.051042,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,CEACAM5,1048,P06731,CEA cell adhesion molecule 5,,428,0.42,0.846,4.1625E-10,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,ERBB2,2064,P04626,erb-b2 receptor tyrosine kinase 2,Kinase,995,0.328,0.923,0.0059892,0.01,,0,1,0,2018,2018
Vitamin D Deficiency,C0042870,AKT1,207,P31749,AKT serine/threonine kinase 1,Kinase,1250,0.311,0.962,0.9759,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,MS4A2,2206,Q01362,membrane spanning 4-domains A2,Receptor,33,0.691,0.5,5.6048E-09,0.01,,1,1,1,2012,2012
Vitamin D Deficiency,C0042870,FKBP4,2288,Q02790,FKBP prolyl isomerase 4,Enzyme,149,0.532,0.769,0.15539,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,FOXO1,2308,Q12778,forkhead box O1,,380,0.433,0.846,0.99725,0.01,,0,1,0,2019,2019
Vitamin D Deficiency,C0042870,CABIN1,23523,Q9Y6J0,calcineurin binding protein 1,Enzyme modulator,136,0.536,0.846,3.2844E-17,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,GALC,2581,P54803,galactosylceramidase,,99,0.604,0.615,5.2142E-15,0.01,,1,1,0,2015,2015
Vitamin D Deficiency,C0042870,COPD,260431,,"Pulmonary disease, chronic obstructive, severe early-onset",,349,0.456,0.885,,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,SACS,26278,Q9NZJ4,sacsin molecular chaperone,,106,0.606,0.654,1.0852E-23,0.01,,1,1,0,2001,2001
Vitamin D Deficiency,C0042870,DEFB4B,100289462,O15263,defensin beta 4B,,166,0.51,0.769,0.067977,0.01,,1,1,0,2010,2010
Vitamin D Deficiency,C0042870,SLC17A5,26503,Q9NRA2,solute carrier family 17 member 5,Transporter,252,0.491,0.808,6.8514E-10,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,GGT1,2678,P19440,gamma-glutamyltransferase 1,Enzyme,209,0.496,0.885,0.000075307,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,AMH,268,P03971,anti-Mullerian hormone,,242,0.476,0.846,3.3974E-12,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,EDN1,1906,P05305,endothelin 1,Signaling,679,0.38,0.846,0.45504,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,SLC26A3,1811,P40879,solute carrier family 26 member 3,Transporter,128,0.554,0.692,1.3699E-13,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,DPP4,1803,P27487,dipeptidyl peptidase 4,Enzyme,451,0.42,0.808,7.2797E-09,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,CEBPB,1051,P17676,CCAAT enhancer binding protein beta,Transcription factor,182,0.508,0.731,0.35809,0.01,,1,1,0,2015,2015
Vitamin D Deficiency,C0042870,MTCO2P12,107075310,,MT-CO2 pseudogene 12,,703,0.368,0.962,,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,CEACAM3,1084,P40198,CEA cell adhesion molecule 3,,204,0.494,0.731,1.067E-09,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,CEACAM7,1087,Q14002,CEA cell adhesion molecule 7,,202,0.494,0.769,1.3466E-07,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,CPB2,1361,Q96IY4,carboxypeptidase B2,Enzyme,148,0.536,0.846,2.7076E-17,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,TRPM6,140803,Q9BX84,transient receptor potential cation channel subfamily M member 6,Kinase,48,0.656,0.538,2.719E-10,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,CX3CR1,1524,P49238,C-X3-C motif chemokine receptor 1,G-protein coupled receptor,310,0.457,0.885,0.061371,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,CYP7A1,1581,P22680,cytochrome P450 family 7 subfamily A member 1,Enzyme,91,0.576,0.615,0.00024507,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,DBP,1628,Q10586,D-box binding PAR bZIP transcription factor,Nucleic acid binding,105,0.556,0.731,0.23376,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,ACE,1636,P12821,angiotensin I converting enzyme,Enzyme,1082,0.328,0.923,1.0344E-37,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,DEFB4A,1673,O15263,defensin beta 4A,,177,0.507,0.769,0.0011637,0.01,,1,1,0,2010,2010
Vitamin D Deficiency,C0042870,AFP,174,P02771,alpha fetoprotein,Transporter,392,0.429,0.885,1.1383E-11,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,DMP1,1758,Q13316,dentin matrix acidic phosphoprotein 1,,134,0.556,0.615,1.4881E-07,0.01,,1,1,0,2014,2014
Vitamin D Deficiency,C0042870,FETUB,26998,Q9UGM5,fetuin B,Enzyme modulator,38,0.686,0.308,8.8804E-08,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,ACAD8,27034,Q9UKU7,acyl-CoA dehydrogenase family member 8,Enzyme,203,0.506,0.885,5.6389E-14,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,GRM7,2917,Q14831,glutamate metabotropic receptor 7,G-protein coupled receptor,77,0.628,0.538,0.99896,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,MIR126,406913,,microRNA 126,,305,0.447,0.846,,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,EPCAM,4072,P16422,epithelial cell adhesion molecule,,328,0.451,0.885,1.2844E-07,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,SMAD3,4088,P84022,SMAD family member 3,Transcription factor,470,0.415,0.923,0.79796,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,MCL1,4170,Q07820,"MCL1 apoptosis regulator, BCL2 family member",Signaling,375,0.43,0.808,0.96349,0.01,,0,1,0,2019,2019
Vitamin D Deficiency,C0042870,MFAP1,4236,P55081,microfibril associated protein 1,Extracellular structure,357,0.431,0.846,0.79602,0.01,,1,1,0,2001,2001
Vitamin D Deficiency,C0042870,COX2,4513,P00403,cytochrome c oxidase subunit II,Enzyme,875,0.352,0.962,,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,MYC,4609,P01106,"MYC proto-oncogene, bHLH transcription factor",Transcription factor,821,0.344,0.923,0.99801,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,MYH1,4619,P12882,myosin heavy chain 1,,8,0.805,0.5,1.3645E-56,0.01,,1,1,0,2020,2020
Vitamin D Deficiency,C0042870,WG,474168,,Wegener granulomatosis,,61,0.595,0.808,,0.01,,1,1,0,2012,2012
Vitamin D Deficiency,C0042870,NPAS2,4862,Q99743,neuronal PAS domain protein 2,,82,0.595,0.654,1,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,TNFRSF11B,4982,O00300,TNF receptor superfamily member 11b,,443,0.422,0.808,0.16171,0.01,,1,1,0,2013,2013
Vitamin D Deficiency,C0042870,SERPINE1,5054,P05121,serpin family E member 1,Enzyme modulator,770,0.359,0.885,0.043609,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,PAPPA,5069,Q13219,pappalysin 1,,125,0.558,0.692,0.1613,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,ARNTL,406,O00327,aryl hydrocarbon receptor nuclear translocator like,Transcription factor,200,0.51,0.885,0.99444,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,LDLR,3949,P01130,low density lipoprotein receptor,,336,0.449,0.885,9.841E-24,0.01,,1,1,0,2013,2013
Vitamin D Deficiency,C0042870,KNG1,3827,P01042,kininogen 1,Enzyme modulator,279,0.481,0.885,3.2071E-10,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,HLA-A,3105,P04439,"major histocompatibility complex, class I, A",,672,0.37,0.846,0.0013299,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,HSD11B2,3291,P80365,hydroxysteroid 11-beta dehydrogenase 2,Enzyme,163,0.532,0.808,0.11777,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,IBSP,3381,P21815,integrin binding sialoprotein,Extracellular structure,47,0.653,0.538,1.3519E-11,0.01,,1,1,0,2001,2001
Vitamin D Deficiency,C0042870,MALRD1,340895,Q5VYJ5,MAM and LDL receptor class A domain containing 1,,9,0.821,0.346,9.3765E-21,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,IFNG,3458,P01579,interferon gamma,,1519,0.288,0.962,0.47156,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,IGFBP3,3486,P17936,insulin like growth factor binding protein 3,Enzyme modulator,350,0.439,0.808,0.91029,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,APRT,353,P07741,adenine phosphoribosyltransferase,,384,0.423,0.846,5.4539E-13,0.01,,1,1,0,2001,2001
Vitamin D Deficiency,C0042870,IL1B,3553,P01584,interleukin 1 beta,,1801,0.276,0.962,0.13005,0.01,,1,1,0,2018,2018
Vitamin D Deficiency,C0042870,CXCL8,3576,P10145,C-X-C motif chemokine ligand 8,Signaling,1254,0.31,0.962,0.00027377,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,IL17A,3605,Q16552,interleukin 17A,,1074,0.324,0.923,0.043049,0.01,,0,1,0,2018,2018
Vitamin D Deficiency,C0042870,CXCL10,3627,P02778,C-X-C motif chemokine ligand 10,Signaling,631,0.378,0.885,0.36865,0.01,,1,1,0,2017,2017
Vitamin D Deficiency,C0042870,INSR,3643,P06213,insulin receptor,Kinase,452,0.432,0.846,0.000036145,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,AR,367,P10275,androgen receptor,Nuclear receptor,854,0.351,0.846,0.98837,0.01,,1,1,0,2019,2019
Vitamin D Deficiency,C0042870,PGC,5225,P20142,progastricsin,Enzyme,83,0.603,0.692,6.752E-11,0.01,,1,1,0,2019,2019
