Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Huntington Disease,C0020179,NFE2L2,4780,Q16236,"nuclear factor, erythroid 2 like 2",Enzyme,823,0.357,0.885,0.0035719,0.3,,1,13,0,2010,2019
Huntington Disease,C0020179,PPP1R1B,84152,Q9UD71,protein phosphatase 1 regulatory inhibitor subunit 1B,Enzyme modulator,82,0.617,0.5,0.24098,0.3,,1,14,0,2004,2019
Huntington Disease,C0020179,CREB1,1385,P16220,cAMP responsive element binding protein 1,,294,0.463,0.885,0.99673,0.27,,1,8,0,2006,2018
Huntington Disease,C0020179,ZDHHC17,23390,Q8IUH5,zinc finger DHHC-type palmitoyltransferase 17,,5,0.89,0.269,0.99989,0.27,,0.875,8,0,2002,2017
Huntington Disease,C0020179,LEP,3952,P41159,leptin,,931,0.349,0.846,0.46491,0.25,,1,6,0,2004,2019
Huntington Disease,C0020179,NPY,4852,P01303,neuropeptide Y,Signaling,381,0.447,0.846,0.14294,0.25,,1,6,0,1991,2018
Huntington Disease,C0020179,ITPR1,3708,Q14643,"inositol 1,4,5-trisphosphate receptor type 1",Ion channel,185,0.534,0.846,1,0.24,,1,5,0,1998,2014
Huntington Disease,C0020179,MMP9,4318,P14780,matrix metallopeptidase 9,Enzyme,1337,0.305,0.923,1.89E-17,0.23,,1,4,0,1998,2017
Huntington Disease,C0020179,PPARD,5467,Q03181,peroxisome proliferator activated receptor delta,Nuclear receptor,197,0.513,0.846,0.99497,0.23,,1,3,0,2016,2020
Huntington Disease,C0020179,BCL2,596,P10415,BCL2 apoptosis regulator,Signaling,1456,0.291,0.885,0.55903,0.22,,1,3,0,1999,2015
Huntington Disease,C0020179,ZDHHC13,54503,Q8IUH4,zinc finger DHHC-type palmitoyltransferase 13,,18,0.729,0.346,1.20E-19,0.22,,1,3,0,2012,2015
Huntington Disease,C0020179,CNR2,1269,P34972,cannabinoid receptor 2,G-protein coupled receptor,197,0.509,0.846,6.54E-06,0.22,,1,3,0,2009,2011
Huntington Disease,C0020179,DRD1,1812,P21728,dopamine receptor D1,G-protein coupled receptor,181,0.529,0.808,0.9555,0.21,,1,2,0,1994,2008
Huntington Disease,C0020179,HAAO,23498,P46952,"3-hydroxyanthranilate 3,4-dioxygenase",,47,0.644,0.538,1.06E-08,0.2,,1,1,0,1989,1989
Huntington Disease,C0020179,BAX,581,Q07812,"BCL2 associated X, apoptosis regulator",Signaling,420,0.417,0.885,0.31746,0.2,,1,2,0,2001,2008
Huntington Disease,C0020179,GSR,2936,P00390,glutathione-disulfide reductase,Enzyme,206,0.494,0.846,1.29E-06,0.2,,1,1,0,2000,2000
Huntington Disease,C0020179,QPRT,23475,Q15274,quinolinate phosphoribosyltransferase,,15,0.736,0.346,0.0046997,0.2,,1,1,0,1989,1989
Huntington Disease,C0020179,ND3,4537,P03897,"NADH dehydrogenase, subunit 3 (complex I)",,113,0.604,0.654,,0.2,,1,1,0,2010,2010
Huntington Disease,C0020179,DUSP1,1843,P28562,dual specificity phosphatase 1,,214,0.491,0.808,0.010151,0.2,,1,1,0,2013,2013
Huntington Disease,C0020179,MBP,4155,P02686,myelin basic protein,,184,0.51,0.885,0.28446,0.2,,1,1,0,2012,2012
Huntington Disease,C0020179,CAT,847,P04040,catalase,Enzyme,794,0.359,0.962,1.63E-10,0.2,,1,1,0,2009,2009
Huntington Disease,C0020179,ABAT,18,P80404,4-aminobutyrate aminotransferase,Enzyme,127,0.628,0.538,0.0063216,0.2,,1,1,0,1977,1977
Huntington Disease,C0020179,NOS3,4846,P29474,nitric oxide synthase 3,,706,0.378,0.885,6.72E-07,0.2,,1,1,0,2007,2007
Huntington Disease,C0020179,E2F1,1869,Q01094,E2F transcription factor 1,Nucleic acid binding,324,0.441,0.846,0.9877,0.2,,1,1,0,2008,2008
Huntington Disease,C0020179,PTGS2,5743,P35354,prostaglandin-endoperoxide synthase 2,Enzyme,1234,0.314,0.962,0.99597,0.2,,1,1,0,2011,2011
Huntington Disease,C0020179,ADD1,118,P35611,adducin 1,Cellular structure,67,0.612,0.615,0.9883,0.13,,1,4,1,1992,2012
Huntington Disease,C0020179,FAN1,22909,Q9Y2M0,FANCD2 and FANCI associated nuclease 1,,93,0.61,0.577,1.65E-25,0.12,,1,3,2,2016,2020
Huntington Disease,C0020179,RNF4,6047,P78317,ring finger protein 4,,27,0.705,0.462,0.79973,0.11,,1,2,2,2012,2018
Huntington Disease,C0020179,SH3BP2,6452,P78314,SH3 domain binding protein 2,,65,0.623,0.654,1.16E-11,0.1,,1,1,1,2012,2012
Huntington Disease,C0020179,TBP,6908,P20226,TATA-box binding protein,Transcription factor,158,0.552,0.846,0.015031,0.1,,1,14,0,2002,2020
Huntington Disease,C0020179,RGS12,6002,O14924,regulator of G protein signaling 12,,22,0.769,0.462,4.09E-09,0.1,,1,1,9,2012,2012
Huntington Disease,C0020179,GABPA,2551,Q06546,GA binding protein transcription factor subunit alpha,Transcription factor,632,0.379,0.885,0.99812,0.1,,1,10,0,2012,2019
Huntington Disease,C0020179,BDNF,627,P23560,brain derived neurotrophic factor,Signaling,992,0.345,0.923,0.65626,0.1,,1,67,2,2001,2020
Huntington Disease,C0020179,ATXN1,6310,P54253,ataxin 1,,218,0.534,0.769,0.97498,0.1,,1,15,0,1995,2020
Huntington Disease,C0020179,SNCA,6622,P37840,synuclein alpha,Transporter,449,0.427,0.885,0.8829,0.1,,1,15,2,2004,2018
Huntington Disease,C0020179,TP53,7157,P04637,tumor protein p53,Transcription factor,2494,0.236,0.962,0.53235,0.1,,1,17,3,2001,2019
Huntington Disease,C0020179,TGM2,7052,P21980,transglutaminase 2,Enzyme,315,0.445,0.808,6.81E-18,0.1,,0.929,14,0,1999,2012
Huntington Disease,C0020179,IGF1,3479,P05019,insulin like growth factor 1,,1206,0.318,0.885,0.2716,0.1,,1,10,0,2002,2020
Huntington Disease,C0020179,HTT-AS,100750326,,HTT antisense RNA,,1,1,0.115,,0.1,,1,1,4,2012,2012
Huntington Disease,C0020179,AR,367,P10275,androgen receptor,Nuclear receptor,854,0.351,0.846,0.98837,0.1,,1,11,0,1994,2017
Huntington Disease,C0020179,MSANTD1,345222,Q6ZTZ1,Myb/SANT DNA binding domain containing 1,,4,0.931,0.115,0.80456,0.1,,1,1,4,2012,2012
Huntington Disease,C0020179,APOE,348,P02649,apolipoprotein E,,1049,0.338,0.962,0.0018685,0.1,,1,11,0,1994,2019
Huntington Disease,C0020179,SIGMAR1,10280,Q99720,sigma non-opioid intracellular receptor 1,,190,0.544,0.808,0.1678,0.1,,1,10,0,2015,2019
Huntington Disease,C0020179,REST,5978,Q13127,RE1 silencing transcription factor,Transcription factor,178,0.535,0.808,0.99186,0.1,,1,21,0,2003,2019
Huntington Disease,C0020179,EPO,2056,P01588,erythropoietin,,646,0.381,0.885,0.01125,0.1,,1,10,0,2001,2020
Huntington Disease,C0020179,ADGB,79747,Q8N7X0,androglobin,,5,0.861,0.231,3.72E-22,0.1,,1,1,1,2017,2017
Huntington Disease,C0020179,GRIN2B,2904,Q13224,glutamate ionotropic receptor NMDA type subunit 2B,Ion channel,249,0.51,0.692,1,0.1,,1,14,1,1997,2018
Huntington Disease,C0020179,GRK4,2868,P32298,G protein-coupled receptor kinase 4,Kinase,21,0.716,0.5,1.63E-15,0.1,,1,1,4,2012,2012
Huntington Disease,C0020179,ATXN3,4287,P54252,ataxin 3,Enzyme,207,0.521,0.808,0.10575,0.1,,0.947,19,0,1995,2020
Huntington Disease,C0020179,PDE10A,10846,Q9Y233,phosphodiesterase 10A,,97,0.619,0.615,0.99986,0.1,,1,13,0,2004,2019
Huntington Disease,C0020179,SOD1,6647,P00441,superoxide dismutase 1,Enzyme,689,0.379,0.962,0.1773,0.1,,1,11,0,1991,2018
Huntington Disease,C0020179,ALB,213,P02768,albumin,Transporter,1198,0.317,0.962,0.64329,0.1,,1,13,0,2014,2020
Huntington Disease,C0020179,CASP6,839,P55212,caspase 6,Enzyme,73,0.61,0.615,0.00012665,0.1,,1,13,0,2006,2019
Huntington Disease,C0020179,JPH3,57338,Q8WXH2,junctophilin 3,,90,0.608,0.538,0.99855,0.1,,0.909,11,0,2002,2019
Huntington Disease,C0020179,HAP1,9001,P54257,huntingtin associated protein 1,Transporter,65,0.604,0.769,3.35E-26,0.1,,1,18,1,1995,2019
Huntington Disease,C0020179,SIRT1,23411,Q96EB6,sirtuin 1,Epigenetic regulator,675,0.378,0.885,0.087326,0.1,,1,13,2,2008,2019
Huntington Disease,C0020179,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.1,,1,10,0,2006,2019
Huntington Disease,C0020179,DRD2,1813,P14416,dopamine receptor D2,G-protein coupled receptor,437,0.436,0.846,0.74709,0.09,,1,9,0,1996,2019
Huntington Disease,C0020179,CRP,1401,P02741,C-reactive protein,,1483,0.299,0.962,0.0036969,0.09,,1,9,0,2006,2018
Huntington Disease,C0020179,DNM1L,10059,O00429,dynamin 1 like,Enzyme modulator,273,0.475,0.808,0.00056753,0.08,,1,8,0,2011,2019
Huntington Disease,C0020179,CREBBP,1387,Q92793,CREB binding protein,,438,0.428,0.808,1,0.08,,1,8,0,2000,2013
Huntington Disease,C0020179,GFAP,2670,P14136,glial fibrillary acidic protein,,447,0.421,0.885,1.46E-06,0.08,,1,8,0,1997,2019
Huntington Disease,C0020179,FXN,2395,Q16595,frataxin,Enzyme,220,0.51,0.654,0.34491,0.08,,1,8,0,1996,2018
Huntington Disease,C0020179,GRIK2,2898,Q13002,glutamate ionotropic receptor kainate type subunit 2,Ion channel,130,0.561,0.769,0.99841,0.08,,0.75,8,0,1997,2015
Huntington Disease,C0020179,SLC6A4,6532,P31645,solute carrier family 6 member 4,Transporter,440,0.429,0.808,0.24602,0.08,,1,8,0,2015,2020
Huntington Disease,C0020179,HSF1,3297,Q00613,heat shock transcription factor 1,Transcription factor,185,0.507,0.769,0.74762,0.07,,1,7,0,2013,2019
Huntington Disease,C0020179,ACE,1636,P12821,angiotensin I converting enzyme,Enzyme,1082,0.328,0.923,1.03E-37,0.07,,1,7,0,1999,2017
Huntington Disease,C0020179,GAPDH,2597,P04406,glyceraldehyde-3-phosphate dehydrogenase,Enzyme,305,0.447,0.808,0.11388,0.07,,0.857,7,0,1998,2018
Huntington Disease,C0020179,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.07,,1,7,0,2005,2019
Huntington Disease,C0020179,CTNNB1,1499,P35222,catenin beta 1,,1368,0.303,0.885,0.99999,0.07,,1,7,0,2010,2018
Huntington Disease,C0020179,SIRT2,22933,Q8IXJ6,sirtuin 2,Epigenetic regulator,172,0.51,0.769,2.33E-08,0.07,,1,7,0,2008,2019
Huntington Disease,C0020179,IGFALS,3483,P35858,insulin like growth factor binding protein acid labile subunit,Receptor,203,0.511,0.846,5.44E-11,0.06,,1,6,0,1991,2018
Huntington Disease,C0020179,HSPA4,3308,P34932,heat shock protein family A (Hsp70) member 4,,550,0.394,0.923,0.99954,0.06,,1,6,0,2003,2020
Huntington Disease,C0020179,SLC1A2,6506,P43004,solute carrier family 1 member 2,Transporter,208,0.511,0.731,0.71036,0.06,,1,6,0,1997,2019
Huntington Disease,C0020179,CSF2,1437,P04141,colony stimulating factor 2,Signaling,1028,0.33,0.962,0.83468,0.06,,1,6,0,2014,2019
Huntington Disease,C0020179,DNAJB6,10049,O75190,DnaJ heat shock protein family (Hsp40) member B6,,65,0.659,0.462,0.85436,0.06,,1,6,0,2008,2019
Huntington Disease,C0020179,ZNF141,7700,Q15928,zinc finger protein 141,,8,0.792,0.154,0.10393,0.06,,1,6,0,1989,1995
Huntington Disease,C0020179,MAPT,4137,P10636,microtubule associated protein tau,,469,0.446,0.923,0.0060258,0.06,,1,6,0,2000,2019
Huntington Disease,C0020179,C9orf72,203228,Q96LT7,C9orf72-SMCR8 complex subunit,,258,0.496,0.769,1.06E-06,0.06,,0.833,6,0,2014,2018
Huntington Disease,C0020179,CDK5,1020,Q00535,cyclin dependent kinase 5,Kinase,204,0.495,0.846,0.13892,0.06,,1,6,0,2005,2019
Huntington Disease,C0020179,MAPK1,5594,P28482,mitogen-activated protein kinase 1,Kinase,1059,0.33,0.923,0.99698,0.06,,1,6,0,2008,2019
Huntington Disease,C0020179,NEFL,4747,P07196,neurofilament light,,247,0.488,0.769,,0.06,,1,6,0,1991,2018
Huntington Disease,C0020179,PAG1,55824,Q9NWQ8,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,,174,0.505,0.808,0.017764,0.06,,1,6,0,2001,2013
Huntington Disease,C0020179,PENK,5179,P01210,proenkephalin,Signaling,124,0.56,0.808,0.0002077,0.06,,1,6,0,1991,2008
Huntington Disease,C0020179,OPN1LW,5956,P04000,"opsin 1, long wave sensitive",G-protein coupled receptor,197,0.497,0.808,0.97535,0.06,,1,6,0,2001,2013
Huntington Disease,C0020179,PTH,5741,P01270,parathyroid hormone,,528,0.397,0.846,0.012093,0.06,,1,6,0,2002,2020
Huntington Disease,C0020179,ATM,472,Q13315,ATM serine/threonine kinase,Kinase,684,0.374,0.885,5.59E-47,0.06,,1,6,0,2014,2019
Huntington Disease,C0020179,EIF4E,1977,P06730,eukaryotic translation initiation factor 4E,Nucleic acid binding,317,0.448,0.846,0.94133,0.06,,1,6,0,2001,2013
Huntington Disease,C0020179,SMUG1,23583,Q53HV7,single-strand-selective monofunctional uracil-DNA glycosylase 1,,1034,0.322,0.923,0.00045154,0.06,,1,6,0,2017,2019
Huntington Disease,C0020179,PCBP4,57060,P57723,poly(rC) binding protein 4,Enzyme,147,0.523,0.808,0.0023713,0.06,,1,6,0,2001,2013
Huntington Disease,C0020179,HCRT,3060,O43612,hypocretin neuropeptide precursor,,237,0.5,0.808,0.028774,0.05,,1,5,0,2005,2014
Huntington Disease,C0020179,GRM5,2915,P41594,glutamate metabotropic receptor 5,G-protein coupled receptor,189,0.525,0.846,0.99872,0.05,,1,5,0,2015,2018
Huntington Disease,C0020179,KMO,8564,O15229,kynurenine 3-monooxygenase,,44,0.674,0.615,4.78E-05,0.05,,1,5,0,2005,2018
Huntington Disease,C0020179,CASP3,836,P42574,caspase 3,Enzyme,819,0.351,0.923,0.10017,0.05,,1,5,0,1999,2010
Huntington Disease,C0020179,TAC1,6863,P20366,tachykinin precursor 1,,478,0.424,0.923,0.74608,0.05,,1,5,0,1995,2018
Huntington Disease,C0020179,NEAT1,283131,,nuclear paraspeckle assembly transcript 1,,179,0.502,0.769,,0.05,,1,5,0,2012,2019
Huntington Disease,C0020179,HIP1,3092,O00291,huntingtin interacting protein 1,Cellular structure,56,0.653,0.577,0.76173,0.05,,1,5,0,1998,2012
Huntington Disease,C0020179,PPARG,5468,P37231,peroxisome proliferator activated receptor gamma,Nuclear receptor,877,0.358,0.885,0.029194,0.05,,1,5,2,2010,2013
Huntington Disease,C0020179,NTRK2,4915,Q16620,neurotrophic receptor tyrosine kinase 2,Kinase,284,0.479,0.808,1,0.05,,1,5,0,2006,2018
Huntington Disease,C0020179,FGF23,8074,Q9GZV9,fibroblast growth factor 23,Signaling,305,0.46,0.731,0.031014,0.05,,1,5,0,2017,2019
Huntington Disease,C0020179,HDAC4,9759,P56524,histone deacetylase 4,Epigenetic regulator,256,0.484,0.885,1,0.05,,1,5,0,2013,2019
Huntington Disease,C0020179,IL10,3586,P22301,interleukin 10,,1679,0.281,0.923,0.0058874,0.05,,0.8,5,0,2005,2018
Huntington Disease,C0020179,IFNL3,282617,Q8IZI9,interferon lambda 3,,175,0.506,0.808,2.42E-08,0.05,,1,5,0,2015,2018
Huntington Disease,C0020179,CALB1,793,P05937,calbindin 1,Calcium-binding protein,68,0.606,0.615,0.24308,0.05,,1,5,0,1990,2017
Huntington Disease,C0020179,SETDB1,9869,Q15047,SET domain bifurcated histone lysine methyltransferase 1,,56,0.631,0.654,1,0.05,,1,5,0,2006,2018
Huntington Disease,C0020179,IL1B,3553,P01584,interleukin 1 beta,,1801,0.276,0.962,0.13005,0.05,,1,5,0,1995,2018
Huntington Disease,C0020179,SOST,50964,Q9BQB4,sclerostin,,270,0.474,0.808,0.86731,0.05,,1,5,0,2017,2019
Huntington Disease,C0020179,LAMC2,3918,Q13753,laminin subunit gamma 2,Enzyme modulator,602,0.389,0.923,2.88E-12,0.05,,1,5,0,2017,2019
Huntington Disease,C0020179,UTRN,7402,P46939,utrophin,,152,0.525,0.692,1.00E-19,0.04,,1,4,0,2013,2019
Huntington Disease,C0020179,TLR4,7099,O00206,toll like receptor 4,,1174,0.321,0.962,4.61E-09,0.04,,1,4,0,2018,2020
Huntington Disease,C0020179,UBB,7314,P0CG47,ubiquitin B,Nucleic acid binding,70,0.599,0.615,0.016904,0.04,,1,4,0,2004,2009
Huntington Disease,C0020179,AKT1,207,P31749,AKT serine/threonine kinase 1,Kinase,1250,0.311,0.962,0.9759,0.04,,1,4,0,2005,2020
Huntington Disease,C0020179,F8A1,8263,P23610,coagulation factor VIII associated 1,,3,0.89,0.269,,0.04,,1,4,0,2001,2019
Huntington Disease,C0020179,SIRT3,23410,Q9NTG7,sirtuin 3,Epigenetic regulator,227,0.488,0.731,0.00016261,0.04,,1,4,0,2017,2019
Huntington Disease,C0020179,ATF6,22926,P18850,activating transcription factor 6,,179,0.516,0.846,3.23E-07,0.04,,1,4,0,2011,2018
Huntington Disease,C0020179,DAPK2,23604,Q9UIK4,death associated protein kinase 2,Kinase,130,0.536,0.692,5.01E-10,0.04,,1,4,0,2013,2019
Huntington Disease,C0020179,PPP1R2C,80316,O14990,PPP1R2C family member C,Enzyme modulator,231,0.478,0.846,,0.04,,0.75,4,0,2001,2010
Huntington Disease,C0020179,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,2.41E-05,0.04,,1,4,0,2013,2019
Huntington Disease,C0020179,HSP90AA1,3320,P07900,heat shock protein 90 alpha family class A member 1,Chaperone,455,0.411,0.923,0.86025,0.04,,1,4,0,2014,2019
Huntington Disease,C0020179,LINC01672,100505887,,long intergenic non-protein coding RNA 1672,,268,0.462,0.846,,0.04,,1,4,0,1998,2018
Huntington Disease,C0020179,F8A3,474384,P23610,coagulation factor VIII associated 3,,2,0.931,0.154,,0.04,,1,4,0,2001,2019
Huntington Disease,C0020179,CRMP1,1400,Q14194,collapsin response mediator protein 1,Enzyme,148,0.525,0.808,0.99173,0.04,,1,4,0,2013,2019
Huntington Disease,C0020179,SQSTM1,8878,Q13501,sequestosome 1,,470,0.428,0.885,0.00086035,0.04,,0.75,4,0,2012,2018
Huntington Disease,C0020179,ADORA2A,135,P29274,adenosine A2a receptor,G-protein coupled receptor,213,0.526,0.769,0.5971,0.04,,1,4,0,2005,2013
Huntington Disease,C0020179,HDAC9,9734,Q9UKV0,histone deacetylase 9,Epigenetic regulator,340,0.439,0.846,0.99973,0.04,,1,4,0,2012,2018
Huntington Disease,C0020179,PTX3,5806,P26022,pentraxin 3,,296,0.457,0.808,6.98E-05,0.04,,1,4,0,2011,2019
Huntington Disease,C0020179,MSH2,4436,P43246,mutS homolog 2,Nucleic acid binding,490,0.406,0.808,0.89539,0.04,,0.75,4,0,1999,2011
Huntington Disease,C0020179,IL12B,3593,P29460,interleukin 12B,Signaling,249,0.48,0.885,0.00011439,0.04,,1,4,1,2012,2015
Huntington Disease,C0020179,DENR,8562,O43583,density regulated re-initiation and release factor,Enzyme,121,0.543,0.692,0.87514,0.04,,1,4,0,2013,2019
Huntington Disease,C0020179,ATXN2,6311,Q99700,ataxin 2,Nucleic acid binding,341,0.482,0.808,0.85289,0.04,,1,4,0,1997,2019
Huntington Disease,C0020179,F8A2,474383,P23610,coagulation factor VIII associated 2,,2,0.931,0.154,,0.04,,1,4,0,2001,2019
Huntington Disease,C0020179,PON1,5444,P27169,paraoxonase 1,,496,0.409,0.885,9.81E-11,0.04,,0.75,4,0,2002,2018
Huntington Disease,C0020179,MSH3,4437,P20585,mutS homolog 3,Nucleic acid binding,245,0.474,0.769,7.44E-31,0.04,,1,4,1,2011,2019
Huntington Disease,C0020179,GRIN2A,2903,Q12879,glutamate ionotropic receptor NMDA type subunit 2A,Ion channel,212,0.522,0.808,0.99998,0.04,,1,4,0,2005,2017
Huntington Disease,C0020179,HAMP,57817,P81172,hepcidin antimicrobial peptide,,377,0.433,0.846,0.0081797,0.04,,1,4,0,2018,2020
Huntington Disease,C0020179,H2AX,3014,P16104,H2A.X variant histone,Nucleic acid binding,212,0.484,0.808,0.17652,0.04,,1,4,0,2003,2019
Huntington Disease,C0020179,ACTB,60,P60709,actin beta,Cellular structure,1110,0.325,0.923,0.98564,0.04,,1,4,0,1993,2018
Huntington Disease,C0020179,SRSF6,6431,Q13247,serine and arginine rich splicing factor 6,Nucleic acid binding,37,0.67,0.462,0.91099,0.03,,1,3,0,2014,2017
Huntington Disease,C0020179,KCNH4,23415,Q9UQ05,potassium voltage-gated channel subfamily H member 4,Ion channel,61,0.603,0.615,0.99984,0.03,,1,3,0,2010,2019
Huntington Disease,C0020179,PROS1,5627,P07225,protein S,,283,0.467,0.846,0.00047089,0.03,,1,3,0,2007,2019
Huntington Disease,C0020179,PRL,5617,P01236,prolactin,Signaling,506,0.406,0.885,2.90E-07,0.03,,1,3,0,1977,2017
Huntington Disease,C0020179,GCG,2641,P01275,glucagon,,441,0.431,0.885,0.034814,0.03,,1,3,0,2013,2018
Huntington Disease,C0020179,PSMC6,5706,P62333,"proteasome 26S subunit, ATPase 6",Enzyme,22,0.705,0.577,0.99662,0.03,,0.667,3,0,2013,2018
Huntington Disease,C0020179,TARDBP,23435,Q13148,TAR DNA binding protein,,245,0.493,0.808,0.98542,0.03,,1,3,0,2007,2018
Huntington Disease,C0020179,NRF1,4899,Q16656,nuclear respiratory factor 1,,74,0.603,0.808,0.99922,0.03,,0.667,3,0,2009,2018
Huntington Disease,C0020179,VCP,7415,P55072,valosin containing protein,,376,0.469,0.923,0.99999,0.03,,1,3,0,2010,2017
Huntington Disease,C0020179,PIK3CG,5294,P48736,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Kinase,1101,0.32,0.885,1.41E-06,0.03,,1,3,0,2010,2020
Huntington Disease,C0020179,PIK3CD,5293,O00329,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Kinase,1119,0.319,0.885,0.99999,0.03,,1,3,0,2010,2020
Huntington Disease,C0020179,PIK3CB,5291,P42338,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Kinase,1083,0.322,0.885,0.99964,0.03,,1,3,0,2010,2020
Huntington Disease,C0020179,NT5C2,22978,P49902,"5'-nucleotidase, cytosolic II",Enzyme,149,0.537,0.846,2.14E-06,0.03,,1,3,0,1981,2018
Huntington Disease,C0020179,FOXO1,2308,Q12778,forkhead box O1,,380,0.433,0.846,0.99725,0.03,,1,3,0,2011,2017
Huntington Disease,C0020179,FOXO3,2309,O43524,forkhead box O3,,381,0.431,0.808,0.98806,0.03,,1,3,0,2014,2017
Huntington Disease,C0020179,PIK3CA,5290,P42336,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Kinase,1511,0.292,0.923,1,0.03,,1,3,0,2010,2020
Huntington Disease,C0020179,RCOR1,23186,Q9UKL0,REST corepressor 1,,36,0.678,0.577,0.99992,0.03,,1,3,0,2008,2013
Huntington Disease,C0020179,UBE3A,7337,Q05086,ubiquitin protein ligase E3A,,155,0.561,0.692,0.9998,0.03,,1,3,0,2012,2019
Huntington Disease,C0020179,ABCB1,5243,P08183,ATP binding cassette subfamily B member 1,Transporter,933,0.344,0.885,1.26E-05,0.03,,1,3,0,2000,2016
Huntington Disease,C0020179,SCLY,51540,Q96I15,selenocysteine lyase,Enzyme,161,0.53,0.731,2.33E-09,0.03,,1,3,0,2007,2014
Huntington Disease,C0020179,PDE4A,5141,P27815,phosphodiesterase 4A,,168,0.523,0.846,0.98167,0.03,,1,3,0,2004,2018
Huntington Disease,C0020179,VRK2,7444,Q86Y07,VRK serine/threonine kinase 2,Kinase,29,0.722,0.269,1.57E-11,0.03,,1,3,0,2014,2019
Huntington Disease,C0020179,BDNF-AS,497258,,BDNF antisense RNA,,77,0.638,0.538,,0.03,,1,3,2,2006,2016
Huntington Disease,C0020179,NUP43,348995,Q8NFH3,nucleoporin 43,,25,0.7,0.423,2.41E-05,0.03,,0.667,3,0,2013,2018
